Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
105, 5289.4, 0.4302264, 1.232019, 2.036537, 0.05554308, 0.004354412, 0.2026538, 0.186729
106, 5339.3, 0.4420937, 1.849025, 2.025731, 0.03377739, 0.001983358, 0.1997827, 0.1937352
107, 5389.2, 0.4391817, 1.185284, 1.366692, 0.05621122, -0.0008516957, 0.2165896, 0.1971779
108, 5439.1, 0.4328168, 1.052625, 1.449947, 0.03050869, 0.0009280963, 0.210573, 0.2008877
109, 5489, 0.42992, 1.488489, 1.359026, 0.02522603, 0.001337085, 0.2071351, 0.2023923
110, 5538.9, 0.4310682, 1.399499, 2.15314, 0.04437518, 0.003858, 0.2063094, 0.1913783
111, 5588.8, 0.4455923, 1.017861, 1.74032, 0.05473848, 0.001709254, 0.2079632, 0.1859277
112, 5638.7, 0.4304938, 0.8835732, 0.7956913, 0.02877251, -0.001480502, 0.215686, 0.2113226
113, 5688.6, 0.430909, 1.383153, 3.023917, 0.09966373, 0.003305599, 0.2020741, 0.1351533
114, 5738.5, 0.44004, 1.083316, 1.924242, 0.05205374, 0.001251445, 0.205932, 0.1848356
115, 5788.4, 0.4434577, 1.771901, 2.636302, 0.05831011, 0.003318293, 0.2023904, 0.1624693
116, 5838.3, 0.4400889, 1.020646, 2.581604, 0.09035158, 0.0003211047, 0.2096789, 0.1440108
117, 5888.2, 0.4249578, 1.154182, 1.845481, 0.03961778, 0.002896657, 0.2024167, 0.188189
118, 5938.1, 0.4330863, 1.739227, 2.870847, 0.0866508, 0.004948115, 0.2105362, 0.1462127
119, 5988, 0.4367023, 1.68545, 3.434367, 0.2228662, 0.002506298, 0.1911817, 0.1092622
120, 6037.9, 0.4354163, 1.539934, 3.26497, 0.1360921, 0.005118651, 0.2036583, 0.1134824
121, 6087.8, 0.4337342, 1.841699, 2.486352, 0.06853573, 0.002976313, 0.2043706, 0.1746273
122, 6137.7, 0.4287422, 1.10129, 2.42237, 0.1152905, 0.006407794, 0.2023554, 0.1516559
123, 6187.6, 0.4314048, 1.058675, 1.935392, 0.09744104, 0.003749845, 0.2080806, 0.1616593
124, 6237.5, 0.4313965, 1.294003, 1.968304, 0.06736586, 0.001673822, 0.2092808, 0.1732943
125, 6287.4, 0.4450634, 1.417021, 1.687885, 0.02527445, 0.005459337, 0.2026368, 0.2087695
126, 6337.3, 0.425048, 1.797856, 2.776333, 0.1188511, 0.002644012, 0.2042483, 0.1528795
127, 6387.2, 0.4393079, 1.01699, 2.463832, 0.1054475, 0.005665763, 0.2074939, 0.153646
128, 6437.1, 0.4346062, 1.229849, 2.429416, 0.1250309, 0.004758981, 0.2012358, 0.1730551
129, 6487, 0.4403413, 0.5868664, 2.251077, 0.1000696, 0.004068914, 0.2031856, 0.1629338
130, 6536.9, 0.4294732, 0.9103746, 2.827397, 0.1158641, 0.006644446, 0.20186, 0.1269863
131, 6586.8, 0.4202008, 1.147561, 2.720016, 0.1105548, 0.005146106, 0.1998233, 0.1533501
132, 6636.7, 0.4385434, 1.678278, 2.279833, 0.04716593, 0.004988615, 0.1907437, 0.1979949
